category_id,category_name,department
1,Category_001,Home
2,Category_002,Sports
3,Category_003,Toys
4,Category_004,Books
5,Category_005,Sports
6,Category_006,Electronics
7,Category_007,Electronics
8,Category_008,Fashion
9,Category_009,Books
10,Category_010,Books
11,Category_011,Beauty
12,Category_012,Books
13,Category_013,Fashion
14,Category_014,Home
15,Category_015,Toys
16,Category_016,Books
17,Category_017,Home
18,Category_018,Books
19,Category_019,Sports
20,Category_020,Home
21,Category_021,Sports
22,Category_022,Grocery
23,Category_023,Electronics
24,Category_024,Fashion
25,Category_025,Grocery
26,Category_026,Fashion
27,Category_027,Home
28,Category_028,Toys
29,Category_029,Grocery
30,Category_030,Fashion
31,Category_031,Fashion
32,Category_032,Electronics
33,Category_033,Electronics
34,Category_034,Toys
35,Category_035,Sports
36,Category_036,Electronics
37,Category_037,Sports
38,Category_038,Sports
39,Category_039,Sports
40,Category_040,Grocery
41,Category_041,Books
42,Category_042,Beauty
43,Category_043,Fashion
44,Category_044,Sports
45,Category_045,Electronics
46,Category_046,Toys
47,Category_047,Grocery
48,Category_048,Sports
49,Category_049,Beauty
50,Category_050,Books
51,Category_051,Sports
52,Category_052,Beauty
53,Category_053,Home
54,Category_054,Home
55,Category_055,Grocery
56,Category_056,Electronics
57,Category_057,Sports
58,Category_058,Electronics
59,Category_059,Books
60,Category_060,Home
61,Category_061,Electronics
62,Category_062,Fashion
63,Category_063,Books
64,Category_064,Home
65,Category_065,Home
66,Category_066,Fashion
67,Category_067,Grocery
68,Category_068,Books
69,Category_069,Electronics
70,Category_070,Books
71,Category_071,Electronics
72,Category_072,Sports
73,Category_073,Home
74,Category_074,Home
75,Category_075,Fashion
76,Category_076,Books
77,Category_077,Books
78,Category_078,Grocery
79,Category_079,Beauty
80,Category_080,Fashion
81,Category_081,Grocery
82,Category_082,Electronics
83,Category_083,Beauty
84,Category_084,Toys
85,Category_085,Books
86,Category_086,Books
87,Category_087,Books
88,Category_088,Sports
89,Category_089,Beauty
90,Category_090,Grocery
91,Category_091,Grocery
92,Category_092,Electronics
93,Category_093,Grocery
94,Category_094,Toys
95,Category_095,Books
96,Category_096,Grocery
97,Category_097,Grocery
98,Category_098,Fashion
99,Category_099,Fashion
100,Category_100,Grocery
