order_id,customer_id,order_date,order_status,shipping_city,shipping_state,total_amount
1,6203,2025-11-12,Delivered,Chennai,Maharashtra,23983.24
2,49623,2024-06-05,Delivered,Imphal,Rajasthan,14242.53
3,30087,2024-10-16,Delivered,Pune,Tamil Nadu,9469.26
4,4602,2025-07-25,Delivered,Pune,Rajasthan,3964.16
5,23716,2024-10-05,Delivered,Jaipur,Maharashtra,9358.97
6,1059,2025-06-30,Delivered,Guwahati,West Bengal,594.54
7,8116,2024-03-01,Delivered,Imphal,Delhi,3824.1
8,16181,2024-10-10,Shipped,Delhi,Karnataka,1003.32
9,40096,2024-05-26,Shipped,Hyderabad,Maharashtra,15330.66
10,9862,2024-12-19,Delivered,Bengaluru,Maharashtra,6171.43
11,10252,2025-08-08,Delivered,Pune,Rajasthan,6405.17
12,3044,2024-12-16,Delivered,Mumbai,Delhi,8237.26
13,13558,2025-06-16,Shipped,Delhi,Maharashtra,7800.89
14,44720,2024-05-01,Delivered,Chennai,Maharashtra,10172.7
15,30067,2024-04-01,Delivered,Delhi,Assam,10590.31
16,27449,2024-12-04,Delivered,Jaipur,Manipur,5804.09
17,39988,2024-07-24,Delivered,Mumbai,Delhi,18385.97
18,46560,2025-04-28,Cancelled,Bengaluru,Manipur,1583.28
19,31355,2024-01-07,Delivered,Jaipur,Tamil Nadu,2413.23
20,31933,2025-02-15,Delivered,Jaipur,Assam,8422.17
21,39891,2024-09-01,Delivered,Imphal,Telangana,4106.57
22,6699,2024-01-14,Delivered,Hyderabad,Manipur,7183.89
23,15985,2024-11-14,Delivered,Kolkata,Manipur,15252.74
24,44066,2024-06-27,Shipped,Pune,Telangana,8675.7
25,8470,2024-12-23,Delivered,Jaipur,Maharashtra,7939.99
26,35002,2024-05-18,Delivered,Jaipur,Telangana,3036.15
27,39929,2024-05-21,Delivered,Chennai,West Bengal,10558.69
28,9081,2024-12-14,Delivered,Pune,Delhi,12199.94
29,494,2024-02-06,Delivered,Hyderabad,Manipur,8925.89
30,39693,2024-12-12,Delivered,Bengaluru,Telangana,15848.32
31,36809,2025-03-15,Delivered,Bengaluru,Karnataka,1978.92
32,6792,2024-08-04,Shipped,Kolkata,Karnataka,13046.58
33,9706,2024-08-10,Delivered,Delhi,Rajasthan,3067.46
34,42444,2024-05-22,Delivered,Jaipur,Assam,7033.11
35,35579,2024-11-30,Delivered,Imphal,West Bengal,9988.63
36,33672,2025-07-12,Cancelled,Chennai,Rajasthan,9757.65
37,25882,2024-05-06,Shipped,Imphal,Delhi,4635.16
38,12709,2025-01-20,Shipped,Hyderabad,Tamil Nadu,7001.51
39,2963,2025-10-09,Delivered,Mumbai,West Bengal,7420.82
40,10899,2024-12-08,Delivered,Chennai,Rajasthan,15551.42
41,42689,2025-12-20,Delivered,Pune,Tamil Nadu,8749.48
42,1045,2024-02-06,Cancelled,Mumbai,Maharashtra,5201.36
43,23946,2025-02-16,Shipped,Delhi,Delhi,20230.73
44,17636,2024-01-10,Delivered,Hyderabad,Karnataka,4773.39
45,42241,2025-08-20,Delivered,Kolkata,Manipur,20354.08
46,26518,2025-01-25,Cancelled,Pune,Manipur,4114.24
