payment_id,order_id,payment_date,payment_method,payment_amount,payment_status,transaction_id
1,121684,2024-03-10,Debit Card,499.91,Completed,TXN000000001
2,106480,2024-12-07,Credit Card,1785.09,Failed,TXN000000002
3,75961,2024-02-05,Debit Card,11674.62,Completed,TXN000000003
4,101876,2024-06-19,UPI,20817.9,Completed,TXN000000004
5,76186,2025-07-31,Debit Card,15093.11,Completed,TXN000000005
6,141260,2024-01-10,Net Banking,4035.55,Completed,TXN000000006
7,72351,2024-09-04,UPI,11221.7,Completed,TXN000000007
8,1582,2025-08-18,Credit Card,4443.86,Completed,TXN000000008
9,149886,2024-07-08,UPI,9286.23,Completed,TXN000000009
10,165967,2025-06-12,Credit Card,11792.83,Pending,TXN000000010
11,12558,2025-07-21,COD,7724.86,Completed,TXN000000011
12,91663,2025-03-17,Wallet,6794.72,Completed,TXN000000012
13,25056,2024-12-26,UPI,378.02,Completed,TXN000000013
14,51882,2025-03-12,Net Banking,2753.92,Completed,TXN000000014
15,40074,2025-08-09,UPI,12339.23,Failed,TXN000000015
16,9856,2025-09-21,Credit Card,10471.89,Failed,TXN000000016
17,81776,2024-07-14,Credit Card,6111.2,Completed,TXN000000017
18,159065,2024-11-04,Debit Card,9985.3,Completed,TXN000000018
19,129563,2025-09-26,Debit Card,6268.36,Completed,TXN000000019
20,183417,2025-01-04,Net Banking,4248.23,Completed,TXN000000020
21,130283,2025-07-11,COD,10251.72,Completed,TXN000000021
22,36911,2025-07-07,Credit Card,7543.88,Completed,TXN000000022
23,172412,2024-08-19,UPI,4209.09,Completed,TXN000000023
24,105692,2024-01-26,COD,3549.8,Completed,TXN000000024
25,75202,2025-03-25,UPI,5813.58,Completed,TXN000000025
26,11715,2024-10-20,Debit Card,14121.43,Completed,TXN000000026
27,100903,2024-10-17,UPI,5917.38,Completed,TXN000000027
28,137994,2025-04-16,UPI,5690.4,Completed,TXN000000028
29,35176,2024-02-29,Credit Card,4710.73,Completed,TXN000000029
30,112187,2024-03-12,Debit Card,5061.58,Pending,TXN000000030
31,182529,2025-12-21,Net Banking,4742.96,Completed,TXN000000031
32,152491,2025-09-10,UPI,507.13,Completed,TXN000000032
33,67864,2024-08-28,COD,13426.96,Completed,TXN000000033
34,24466,2024-05-02,Net Banking,7417.06,Completed,TXN000000034
35,158341,2025-08-18,Credit Card,2329.24,Completed,TXN000000035
36,95294,2025-07-22,UPI,11619.25,Pending,TXN000000036
37,73298,2024-07-15,Net Banking,13417.7,Completed,TXN000000037
38,148717,2024-04-03,Credit Card,18988.29,Completed,TXN000000038
39,160823,2025-05-08,UPI,10018.07,Completed,TXN000000039
40,22060,2025-03-13,UPI,2054.64,Completed,TXN000000040
41,148225,2024-01-11,UPI,10184.24,Completed,TXN000000041
42,190260,2025-03-26,Credit Card,1055.71,Completed,TXN000000042
43,191541,2024-07-18,Net Banking,7369.23,Refunded,TXN000000043
44,69178,2024-11-23,UPI,1751.31,Completed,TXN000000044
45,114431,2024-09-27,Net Banking,18201.18,Completed,TXN000000045
46,111927,2024-08-16,UPI,2753.07,Completed,TXN000000046
47,164586,2025-04-05,Credit Card,10511.51,Completed,TXN000000047
48,93734,2024-02-27,COD,3862.63,Completed,TXN000000048
49,28792,2025-07-22,Net Banking,3551.51,Failed,TXN000000049
50,1874,2025-07-04,UPI,8964.7,Completed,TXN000000050
51,153078,2025-04-28,Credit Card,17740.4,Completed,TXN000000051
52,103530,2025-10-30,COD,1075.54,Completed,TXN000000052
53,81432,2025-12-23,Debit Card,8274.37,Completed,TXN000000053
54,175256,2024-10-07,Net Banking,396.87,Completed,TXN000000054
55,98308,2025-03-14,UPI,7841.52,Completed,TXN000000055
56,80944,2025-06-13,Debit Card,21897.95,Completed,TXN000000056
57,99725,2024-01-01,COD,12264.04,Completed,TXN000000057
58,121488,2024-04-03,COD,10069.16,Completed,TXN000000058
59,193366,2024-07-08,Debit Card,6354.59,Completed,TXN000000059
60,183747,2024-09-03,UPI,12184.4,Completed,TXN000000060
61,124903,2025-09-18,Credit Card,10628.85,Completed,TXN000000061
62,52827,2025-12-18,Debit Card,3464.47,Completed,TXN000000062
63,143333,2025-09-05,Wallet,12846.38,Completed,TXN000000063
64,179679,2025-07-31,Debit Card,14339.46,Completed,TXN000000064
65,100050,2025-10-20,Debit Card,1043.5,Completed,TXN000000065
66,152993,2025-02-27,UPI,2794.35,Completed,TXN000000066
67,184136,2024-05-14,Credit Card,11671.39,Completed,TXN000000067
68,145686,2025-06-21,UPI,17419.89,Pending,TXN000000068
69,10504,2025-07-15,UPI,3351.73,Completed,TXN000000069
70,172311,2025-10-12,Credit Card,2767.11,Completed,TXN000000070
71,105154,2024-11-04,UPI,9050.97,Completed,TXN000000071
72,155277,2024-08-17,COD,7039.11,Completed,TXN000000072
73,159347,2025-01-29,UPI,5527.74,Completed,TXN000000073
74,3982,2025-11-11,UPI,2849.55,Failed,TXN000000074
75,178480,2025-01-08,COD,6875.81,Completed,TXN000000075
76,24234,2024-11-06,UPI,9483.22,Completed,TXN000000076
77,92113,2024-07-28,Wallet,16897.02,Completed,TXN000000077
78,37425,2025-04-26,Net Banking,18830.98,Completed,TXN000000078
79,33601,2024-10-12,UPI,7539.82,Completed,TXN000000079
80,177799,2025-03-26,UPI,9487.27,Completed,TXN000000080
81,1048,2025-04-09,UPI,5726.15,Completed,TXN000000081
82,8896,2025-12-27,Net Banking,9096.52,Completed,TXN000000082
83,76338,2025-02-17,UPI,7364.69,Failed,TXN000000083
84,14268,2024-05-04,UPI,5547.68,Completed,TXN000000084
85,137940,2025-12-08,Net Banking,5455.42,Completed,TXN000000085
86,155866,2025-06-25,COD,2222.46,Completed,TXN000000086
87,134325,2025-06-09,Debit Card,23257.96,Completed,TXN000000087
88,141871,2025-08-14,UPI,12238.48,Completed,TXN000000088
89,51867,2025-06-29,COD,7003.49,Completed,TXN000000089
90,44605,2024-03-28,Credit Card,15775.7,Failed,TXN000000090
91,172762,2025-03-25,COD,2804.19,Completed,TXN000000091
92,177945,2024-03-25,Wallet,4934.22,Completed,TXN000000092
93,183610,2024-03-06,UPI,8183.81,Completed,TXN000000093
94,89166,2025-02-15,Credit Card,18739.03,Completed,TXN000000094
95,148642,2024-08-31,UPI,4713.25,Completed,TXN000000095
96,16102,2024-05-04,UPI,6163.64,Completed,TXN000000096
97,136161,2024-08-23,Debit Card,3225.2,Pending,TXN000000097
98,114283,2025-05-04,UPI,9549.53,Completed,TXN000000098
99,170483,2025-03-27,UPI,650.37,Completed,TXN000000099
100,24858,2024-03-26,Wallet,23149.69,Completed,TXN000000100
101,4522,2024-12-20,Wallet,6280.46,Completed,TXN000000101
102,62526,2025-02-28,COD,2487.2,Failed,TXN000000102
103,184507,2025-04-04,UPI,4818.42,Completed,TXN000000103
104,12505,2024-02-05,Debit Card,2572.65,Completed,TXN000000104
105,61128,2024-10-13,Wallet,10702.1,Completed,TXN000000105
106,53975,2024-09-23,Credit Card,11252.92,Completed,TXN000000106
107,85137,2025-12-28,Credit Card,1204.01,Completed,TXN000000107
108,86893,2024-08-01,COD,6100.83,Pending,TXN000000108
109,110228,2024-11-22,Net Banking,9483.21,Pending,TXN000000109
110,42642,2025-01-21,Net Banking,5907.12,Completed,TXN000000110
111,96740,2024-09-15,UPI,19246.22,Completed,TXN000000111
112,175394,2024-04-13,Net Banking,8139.37,Completed,TXN000000112
113,24103,2024-08-07,Wallet,11164.59,Completed,TXN000000113
114,99953,2024-11-07,UPI,2290.21,Refunded,TXN000000114
115,54135,2024-05-01,Debit Card,8829.36,Completed,TXN000000115
116,168991,2025-06-11,Wallet,4443.17,Completed,TXN000000116
117,119066,2025-06-26,Credit Card,4991.71,Completed,TXN000000117
118,56140,2024-04-09,Credit Card,22605.81,Completed,TXN000000118
119,145342,2024-04-25,UPI,4701.98,Completed,TXN000000119
120,42610,2025-03-05,COD,2447.03,Completed,TXN000000120
121,121249,2024-04-13,Wallet,4616.93,Refunded,TXN000000121
122,185506,2025-11-30,Credit Card,1225.1,Failed,TXN000000122
123,11409,2025-09-02,UPI,15664.94,Completed,TXN000000123
124,131504,2025-08-04,Debit Card,161.15,Completed,TXN000000124
125,97024,2024-10-10,Net Banking,4842.47,Completed,TXN000000125
126,125239,2024-01-14,Credit Card,3859.68,Completed,TXN000000126
127,178982,2025-02-26,Wallet,3248.48,Completed,TXN000000127
128,59173,2024-08-14,Credit Card,5667.11,Completed,TXN000000128
129,42276,2025-11-10,Credit Card,4268.28,Completed,TXN000000129
130,145466,2024-01-14,Credit Card,982.21,Refunded,TXN000000130
131,187015,2025-04-02,COD,3748.17,Completed,TXN000000131
132,122108,2024-02-22,Wallet,8020.14,Completed,TXN000000132
133,70051,2025-09-13,Net Banking,12215.08,Completed,TXN000000133
134,104759,2025-07-26,Credit Card,5071.5,Completed,TXN000000134
135,49618,2025-11-03,Debit Card,3461.72,Completed,TXN000000135
136,84337,2024-07-30,UPI,7406.83,Completed,TXN000000136
137,117722,2024-11-25,UPI,3738.31,Completed,TXN000000137
