product_id,product_name,category_id,brand,cost_price,selling_price,weight_kg
1,Product_00001,73,Brand_120,1429.96,1619.38,19.04
2,Product_00002,71,Brand_164,1656.84,2369.4,1.57
3,Product_00003,5,Brand_107,1582.85,2473.37,4.49
4,Product_00004,67,Brand_201,1588.93,2359.49,21.41
5,Product_00005,50,Brand_114,1704.54,2130.09,24.03
6,Product_00006,5,Brand_209,622.97,965.15,23.29
7,Product_00007,31,Brand_056,35.09,55.63,8.29
8,Product_00008,39,Brand_300,38.16,48.6,12.26
9,Product_00009,59,Brand_184,396.99,629.99,21.76
10,Product_00010,13,Brand_064,275.93,388.32,0.59
11,Product_00011,78,Brand_223,48.99,73.57,19.32
12,Product_00012,86,Brand_056,641.38,799.72,23.38
13,Product_00013,89,Brand_149,527.52,709.25,6.44
14,Product_00014,94,Brand_232,401.98,466.62,2.77
15,Product_00015,16,Brand_288,296.77,453.62,9.6
16,Product_00016,80,Brand_124,511.92,731.48,19.91
17,Product_00017,67,Brand_266,1075.98,1704.48,5.66
18,Product_00018,8,Brand_031,1138.06,1629.2,14.53
19,Product_00019,100,Brand_134,838.35,926.12,9.12
20,Product_00020,50,Brand_025,1795.19,2525.16,13.89
21,Product_00021,58,Brand_217,1771.85,2562.39,9.25
22,Product_00022,95,Brand_230,687.92,778.78,16.72
23,Product_00023,72,Brand_300,716.22,971.93,17.64
24,Product_00024,28,Brand_214,1071.18,1422.11,9.49
25,Product_00025,99,Brand_203,1133.42,1642.26,19.18
26,Product_00026,30,Brand_200,873.17,1039.53,9.86
27,Product_00027,12,Brand_028,634.11,722.09,14.55
28,Product_00028,2,Brand_251,1002.64,1595.55,8.57
29,Product_00029,82,Brand_097,1065.3,1475.46,20.29
30,Product_00030,53,Brand_108,1804.41,2298.43,10.91
31,Product_00031,22,Brand_072,1626.41,2409.68,4.17
32,Product_00032,17,Brand_019,1610.08,1866.15,22.3
33,Product_00033,6,Brand_126,734.52,1061.08,22.16
34,Product_00034,71,Brand_215,1902.77,2473.82,12.09
35,Product_00035,73,Brand_003,375.41,512.7,7.25
36,Product_00036,41,Brand_178,451.67,611.7,7.89
37,Product_00037,24,Brand_031,87.5,112.19,3.97
38,Product_00038,21,Brand_141,1035.51,1550.87,17.82
39,Product_00039,63,Brand_295,771.05,896.96,24.41
40,Product_00040,45,Brand_218,1937.73,2697.82,1.76
41,Product_00041,55,Brand_189,1154.78,1770.29,16.89
42,Product_00042,99,Brand_006,574.04,760.98,9.02
43,Product_00043,17,Brand_258,489.53,683.49,12.98
44,Product_00044,23,Brand_015,858.14,1286.27,4.03
45,Product_00045,21,Brand_130,1323.85,1599.69,2.12
46,Product_00046,92,Brand_277,730.75,1089.78,16.65
47,Product_00047,10,Brand_112,1211.08,1431.91,1.61
48,Product_00048,48,Brand_267,852.79,1021.45,17.19
49,Product_00049,1,Brand_248,1102.69,1757.27,13.52
50,Product_00050,3,Brand_103,192.67,254.36,0.45
51,Product_00051,31,Brand_163,760.34,936.2,13.69
52,Product_00052,74,Brand_195,53.27,73.2,14.92
53,Product_00053,59,Brand_106,788.58,1074.4,5.79
54,Product_00054,55,Brand_103,1406.2,1904.21,2.67
55,Product_00055,55,Brand_264,608.76,795.53,3.34
56,Product_00056,7,Brand_283,811.64,1119.87,1.55
57,Product_00057,98,Brand_263,126.54,174.72,8.27
58,Product_00058,15,Brand_244,1236.68,1947.37,8.43
59,Product_00059,25,Brand_072,1188.91,1413.67,2.18
60,Product_00060,65,Brand_119,207.14,328.61,19.79
61,Product_00061,29,Brand_165,1152.03,1279.09,0.95
62,Product_00062,37,Brand_116,779.18,909.13,5.53
63,Product_00063,61,Brand_002,392.03,556.28,20.73
64,Product_00064,85,Brand_217,264.52,362.69,22.41
65,Product_00065,58,Brand_055,1003.15,1492.61,20.46
66,Product_00066,20,Brand_016,1418.88,1893.75,15.78
67,Product_00067,4,Brand_247,655.3,986.42,11.62
68,Product_00068,17,Brand_235,757.89,937.73,4.08
69,Product_00069,23,Brand_263,1576.37,2416.44,20.12
70,Product_00070,30,Brand_182,1369.38,2037.51,5.3
71,Product_00071,24,Brand_125,372.12,510.36,6.26
72,Product_00072,6,Brand_070,935.4,1292.01,6.15
73,Product_00073,37,Brand_256,806.89,1175.45,19.43
74,Product_00074,55,Brand_169,1867.21,2850.44,12.93
75,Product_00075,82,Brand_251,359.47,556.61,10.07
76,Product_00076,42,Brand_045,435.66,654.93,7.32
77,Product_00077,54,Brand_042,440.13,596.79,12.77
78,Product_00078,27,Brand_020,1263.98,1458.78,24.17
79,Product_00079,50,Brand_097,1488.96,1785.98,5.8
80,Product_00080,34,Brand_167,405.65,527.3,24.79
81,Product_00081,6,Brand_117,1755.34,2038.9,5.62
82,Product_00082,50,Brand_142,981.21,1546.13,8.78
83,Product_00083,49,Brand_110,882.21,1124.93,2.67
84,Product_00084,29,Brand_140,1138.3,1422.48,8.54
85,Product_00085,40,Brand_116,941.1,1298.33,4.25
86,Product_00086,84,Brand_182,340.45,453.43,3.0
87,Product_00087,42,Brand_111,156.4,248.34,14.0
88,Product_00088,24,Brand_243,974.17,1470.75,19.63
89,Product_00089,41,Brand_264,83.96,111.77,8.35
90,Product_00090,10,Brand_160,314.73,437.9,16.29
91,Product_00091,99,Brand_186,1241.69,1954.01,20.04
92,Product_00092,14,Brand_117,569.59,869.31,22.03
93,Product_00093,10,Brand_276,601.65,929.51,4.22
94,Product_00094,10,Brand_189,1089.37,1365.4,0.83
95,Product_00095,62,Brand_279,1810.17,2829.31,11.74
96,Product_00096,31,Brand_094,715.97,900.91,19.74
97,Product_00097,97,Brand_266,735.87,856.11,18.77
98,Product_00098,6,Brand_159,1629.74,2261.9,0.48
99,Product_00099,2,Brand_259,720.23,967.0,7.56
100,Product_00100,97,Brand_003,418.46,486.09,22.58
101,Product_00101,90,Brand_223,276.54,392.93,21.35
102,Product_00102,19,Brand_153,574.36,696.9,19.71
103,Product_00103,27,Brand_061,380.22,582.49,3.56
104,Product_00104,15,Brand_148,1568.32,1823.01,16.35
105,Product_00105,75,Brand_150,1541.8,1782.22,7.65
106,Product_00106,7,Brand_194,908.36,1181.0,21.04
107,Product_00107,78,Brand_224,1568.86,2317.84,24.78
108,Product_00108,14,Brand_267,801.6,1170.39,18.38
109,Product_00109,25,Brand_239,473.25,718.98,5.48
110,Product_00110,65,Brand_054,370.29,530.26,22.02
111,Product_00111,45,Brand_207,660.26,963.76,20.08
112,Product_00112,86,Brand_164,559.79,803.17,12.22
113,Product_00113,4,Brand_108,1235.05,1526.59,2.83
114,Product_00114,72,Brand_020,1363.83,2074.32,20.54
115,Product_00115,16,Brand_144,1716.9,2126.23,10.89
116,Product_00116,8,Brand_268,713.17,982.44,3.13
117,Product_00117,85,Brand_241,1842.26,2545.94,2.23
118,Product_00118,98,Brand_161,546.11,661.61,23.22
