seller_id,seller_name,city,state,seller_rating,join_date
1,Seller_00001,Chennai,Delhi,4.14,2022-10-08
2,Seller_00002,Imphal,Telangana,3.01,2024-12-22
3,Seller_00003,Jaipur,Assam,3.62,2022-11-05
4,Seller_00004,Guwahati,Manipur,4.66,2024-01-16
5,Seller_00005,Chennai,Karnataka,4.53,2020-09-08
6,Seller_00006,Guwahati,Maharashtra,3.84,2025-05-22
7,Seller_00007,Kolkata,Assam,4.48,2023-08-02
8,Seller_00008,Guwahati,Tamil Nadu,4.09,2021-01-15
9,Seller_00009,Guwahati,Telangana,3.94,2020-12-10
10,Seller_00010,Bengaluru,Manipur,4.39,2025-01-10
11,Seller_00011,Kolkata,Tamil Nadu,4.97,2021-05-08
12,Seller_00012,Chennai,Manipur,3.3,2021-07-23
13,Seller_00013,Guwahati,Karnataka,3.64,2025-04-13
14,Seller_00014,Bengaluru,Tamil Nadu,4.33,2021-06-01
15,Seller_00015,Hyderabad,Telangana,3.24,2025-12-24
16,Seller_00016,Pune,Karnataka,3.44,2021-03-30
17,Seller_00017,Guwahati,Maharashtra,4.23,2024-09-16
18,Seller_00018,Pune,Delhi,3.79,2023-05-29
19,Seller_00019,Hyderabad,Tamil Nadu,3.63,2021-11-22
20,Seller_00020,Guwahati,Maharashtra,4.0,2025-12-23
21,Seller_00021,Chennai,West Bengal,4.06,2025-07-05
22,Seller_00022,Chennai,Delhi,4.68,2025-06-28
23,Seller_00023,Pune,Tamil Nadu,4.14,2025-01-31
24,Seller_00024,Imphal,Maharashtra,4.26,2021-02-09
25,Seller_00025,Pune,Maharashtra,3.32,2025-08-16
26,Seller_00026,Hyderabad,Delhi,4.34,2025-08-19
27,Seller_00027,Pune,Delhi,4.57,2025-12-02
28,Seller_00028,Delhi,Manipur,4.37,2021-01-16
29,Seller_00029,Mumbai,Tamil Nadu,4.06,2022-03-27
30,Seller_00030,Delhi,West Bengal,4.06,2021-01-25
31,Seller_00031,Jaipur,Maharashtra,4.73,2022-11-08
32,Seller_00032,Guwahati,West Bengal,4.55,2023-03-08
