shipment_id,order_id,seller_id,shipping_date,expected_delivery_date,actual_delivery_date,shipping_method,shipping_cost,delivery_status
1,1,1846,2025-11-12,2025-11-19,2025-11-18,Standard,2.9,Delivered
2,2,2409,2024-06-08,2024-06-14,2024-06-18,Standard,15.26,Delivered
3,3,951,2024-10-17,2024-10-20,2024-10-20,Economy,3.4,Delivered
4,4,3157,2025-07-27,2025-08-02,2025-08-05,Standard,35.18,Delivered
5,5,4221,2024-10-08,2024-10-14,2024-10-14,Express,36.29,Delivered
6,6,4654,2025-06-30,2025-07-05,2025-07-08,Standard,15.25,Delivered
7,7,2654,2024-03-01,2024-03-05,2024-03-07,Standard,49.03,Delayed
8,8,505,2024-10-11,2024-10-18,2024-10-21,Standard,20.05,Delivered
9,9,1387,2024-05-29,2024-06-04,2024-06-03,Standard,9.95,Delivered
10,10,1839,2024-12-21,2024-12-25,2024-12-26,Standard,40.03,Delayed
11,11,1119,2025-08-08,2025-08-15,2025-08-15,Standard,15.87,Delivered
12,12,1810,2024-12-16,2024-12-22,2024-12-26,Standard,30.17,Delivered
13,13,1303,2025-06-18,2025-06-21,2025-06-24,Economy,6.52,Delivered
14,14,4692,2024-05-04,2024-05-08,2024-05-08,Express,21.55,Delivered
15,15,2212,2024-04-03,2024-04-09,2024-04-08,Express,47.39,Returned
16,16,2285,2024-12-07,2024-12-10,2024-12-13,Standard,30.27,Delivered
17,17,140,2024-07-25,2024-07-27,2024-07-29,Standard,34.82,Delivered
18,18,3332,2025-04-29,2025-05-01,2025-05-03,Standard,21.8,In Transit
19,19,1274,2024-01-10,2024-01-12,2024-01-11,Economy,4.05,Delivered
20,20,1515,2025-02-15,2025-02-21,2025-02-22,Economy,3.68,Delivered
21,21,3355,2024-09-03,2024-09-07,2024-09-06,Standard,35.28,Delivered
22,22,4579,2024-01-16,2024-01-21,2024-01-22,Standard,47.25,Delivered
23,23,2792,2024-11-17,2024-11-22,2024-11-22,Economy,19.68,Delivered
24,24,2876,2024-06-28,2024-07-04,2024-07-06,Standard,40.81,Delivered
25,25,1355,2024-12-24,2024-12-29,2025-01-02,Standard,30.88,Delivered
26,26,4255,2024-05-19,2024-05-26,2024-05-29,Economy,24.1,Delayed
27,27,3533,2024-05-22,2024-05-27,2024-05-27,Standard,3.71,In Transit
28,28,2451,2024-12-16,2024-12-23,2024-12-22,Standard,26.59,Delivered
29,29,1931,2024-02-08,2024-02-12,2024-02-13,Standard,21.05,Delivered
30,30,2896,2024-12-12,2024-12-16,2024-12-15,Standard,13.99,Delivered
31,31,4846,2025-03-18,2025-03-22,2025-03-26,Economy,5.15,In Transit
32,32,62,2024-08-04,2024-08-08,2024-08-09,Express,26.12,Delivered
33,33,4547,2024-08-10,2024-08-12,2024-08-16,Standard,47.71,Delivered
34,34,2153,2024-05-22,2024-05-29,2024-05-29,Standard,32.71,Delivered
35,35,1630,2024-12-01,2024-12-05,2024-12-08,Standard,7.28,Delivered
36,36,1662,2025-07-12,2025-07-15,2025-07-19,Standard,29.45,Delivered
37,37,1153,2024-05-06,2024-05-08,2024-05-07,Standard,28.73,Delivered
38,38,734,2025-01-22,2025-01-24,2025-01-24,Standard,43.76,Delivered
39,39,2986,2025-10-12,2025-10-19,2025-10-18,Standard,29.54,Delivered
40,40,854,2024-12-08,2024-12-12,2024-12-15,Standard,49.41,Delivered
41,41,1065,2025-12-20,2025-12-26,2025-12-29,Standard,42.34,Delivered
42,42,4767,2024-02-07,2024-02-13,2024-02-16,Express,30.23,Delivered
43,43,4569,2025-02-16,2025-02-21,2025-02-21,Express,31.25,Delivered
44,44,1113,2024-01-13,2024-01-16,2024-01-18,Standard,41.01,Returned
45,45,417,2025-08-23,2025-08-30,2025-09-01,Standard,6.73,Delivered
46,46,2174,2025-01-26,2025-02-01,2025-02-02,Standard,30.22,Delivered
47,47,4214,2025-05-19,2025-05-26,2025-05-25,Express,46.12,Delivered
48,48,2877,2025-02-28,2025-03-02,2025-03-05,Standard,48.63,Delivered
49,49,3739,2025-10-02,2025-10-06,2025-10-08,Standard,21.23,Delivered
50,50,2938,2025-07-29,2025-07-31,2025-08-01,Standard,14.41,Delivered
51,51,2566,2024-05-11,2024-05-14,2024-05-14,Standard,2.77,Delivered
52,52,1631,2025-11-05,2025-11-12,2025-11-16,Standard,38.16,Delivered
53,53,978,2025-08-20,2025-08-25,2025-08-24,Standard,13.5,Delivered
54,54,535,2025-09-09,2025-09-15,2025-09-18,Standard,39.87,Delivered
55,55,3939,2025-12-18,2025-12-23,2025-12-24,Economy,23.13,Delivered
56,56,4482,2025-03-08,2025-03-15,2025-03-18,Express,43.06,Delivered
57,57,541,2024-05-16,2024-05-22,2024-05-22,Standard,36.18,Delivered
58,58,1893,2024-12-23,2024-12-26,2024-12-25,Economy,32.6,Delayed
59,59,196,2025-02-19,2025-02-21,2025-02-23,Standard,13.79,Delivered
60,60,2937,2025-10-30,2025-11-02,2025-11-05,Standard,3.68,Delivered
61,61,1975,2025-04-09,2025-04-12,2025-04-16,Economy,11.93,In Transit
62,62,1341,2024-10-14,2024-10-20,2024-10-20,Same Day,32.71,Delivered
63,63,1688,2025-03-18,2025-03-24,2025-03-26,Standard,30.98,Delivered
64,64,2239,2024-06-14,2024-06-16,2024-06-16,Standard,27.14,Delayed
65,65,1662,2024-07-01,2024-07-06,2024-07-09,Express,31.8,Delivered
66,66,3847,2024-10-06,2024-10-12,2024-10-16,Express,37.37,Delivered
67,67,2878,2024-07-05,2024-07-09,2024-07-13,Same Day,13.73,Delivered
68,68,3572,2024-08-31,2024-09-05,2024-09-09,Standard,35.18,Delivered
69,69,3659,2025-05-29,2025-06-03,2025-06-05,Standard,18.58,Delivered
70,70,364,2025-10-24,2025-10-28,2025-11-01,Standard,2.98,Delivered
71,71,2161,2025-02-26,2025-03-05,2025-03-05,Standard,25.57,Delivered
72,72,1025,2025-05-02,2025-05-09,2025-05-11,Standard,30.15,In Transit
73,73,4378,2024-07-29,2024-08-01,2024-08-03,Standard,48.81,Delivered
74,74,3301,2024-05-29,2024-06-02,2024-06-02,Standard,10.0,Delivered
75,75,318,2025-05-17,2025-05-21,2025-05-20,Standard,7.37,Delivered
76,76,1568,2025-09-10,2025-09-14,2025-09-13,Standard,38.47,Delivered
77,77,3454,2024-06-02,2024-06-09,2024-06-13,Economy,39.76,Delivered
78,78,4457,2025-11-29,2025-12-06,2025-12-05,Standard,30.03,Delivered
79,79,668,2024-11-20,2024-11-26,2024-11-26,Express,33.34,Delivered
80,80,4426,2024-06-23,2024-06-28,2024-06-27,Standard,15.04,Delivered
81,81,4348,2025-02-10,2025-02-13,2025-02-13,Standard,42.98,Delivered
82,82,255,2025-01-24,2025-01-28,2025-01-31,Standard,15.53,Delivered
83,83,4507,2024-06-26,2024-06-30,2024-07-02,Standard,15.99,In Transit
84,84,3206,2025-10-16,2025-10-20,2025-10-19,Standard,45.87,Delivered
85,85,991,2024-06-10,2024-06-15,2024-06-19,Express,42.88,Delivered
86,86,1885,2025-10-27,2025-10-30,2025-10-30,Economy,20.04,Delivered
87,87,669,2024-12-10,2024-12-17,2024-12-16,Standard,25.49,Returned
